under_body2_AX,under_body2_AY,under_body2_AZ,under_body2_GX,under_body2_GY,under_body2_GZ,under_body3_AX,under_body3_AY,under_body3_AZ,under_body3_GX,under_body3_GY,under_body3_GZ
-16176,-860,-5424,-3890,7042,2276,-15060,1744,7356,-12594,-6408,4716
-16744,-2380,-3248,-7501,7519,2240,-10984,1352,1488,-13321,3385,1522
-23992,2612,8584,-5985,-7129,303,-12824,-1252,-6828,6022,8356,1828
-20632,2672,-12156,1642,-9760,-8229,-13764,-1212,-528,-8574,8577,-94
-11976,4440,-7316,-6543,-13699,-7977,-14700,3120,-2168,3171,10298,-1482
-9208,-2936,-4576,-1558,-10932,-5069,-13592,-2020,-5176,-1004,7117,-2536
-15660,-6736,11552,10335,-2604,-295,-15760,-1028,-5052,806,10013,-3090
-18876,1036,5248,719,-5289,-258,-19964,1520,7144,2522,1672,-4470
-19192,-1420,-3320,-4743,8807,-1505,-24276,-440,-13472,-5814,-11764,7073
-15420,-2392,-1544,-6900,11234,2849,-11048,-3924,-11696,4425,-15685,6950
-22492,-1020,4232,-11492,12807,5138,-7792,2056,-6052,-13669,1216,-204
-25996,-1800,-17292,14255,-13242,-4863,-23080,4380,-14580,12584,11802,3186
-10692,4536,-11944,4551,-18982,-10841,-15736,2412,-3120,16621,17343,-3472
-7768,8,-2160,16167,-19295,-4100,-13188,-1264,3120,-676,15862,-4668
-11040,-3512,7660,3449,-4382,-1964,-21672,2432,5960,-102,15376,-2611
-3324,6156,-24500,-6945,15202,-17,-27444,21116,4548,11323,4169,3538
-16352,1104,-9832,-13859,11203,4199,-28684,-8640,-14528,4048,-21752,9033
-32768,-11816,132,-10660,20206,16404,-4288,-6440,-18276,4779,-25824,1101
-32768,4812,-13328,19389,-24533,-3401,-3312,-17508,-25240,15105,14907,-1000
-10592,8096,-17132,1664,-25641,-4281,-32768,17344,-1444,-2912,29250,-12495
-5372,196,11668,15353,-19171,1692,-12248,17944,22556,9965,14577,-2752
28752,5388,-10720,-24762,9440,-4715,-32768,-15872,-8652,-17320,-24887,1498
-32712,-4420,-11680,-9263,25381,12925,-6916,-12708,-15580,11111,-11455,7481
-15948,-19704,20452,-7560,20167,9002,5232,15296,17332,12049,-21957,11542
-32768,4884,-10408,29945,-21672,2051,20660,-23104,-14228,17308,5027,-6667
-12560,2524,-19568,6978,-21157,-3713,-31464,12632,-7172,0,0,0
-9864,-3780,15036,21404,-18951,-1530,-13296,10708,23884,-5811,15062,-3114
-2936,12112,-24936,-8815,14213,-1402,-32768,-14316,-8424,-6964,-17751,5214
-8668,-15508,5228,6444,14404,14299,11092,-7916,18396,0,0,0
-4440,136,11720,32767,-21794,984,-9796,10720,12064,16372,13948,-2562
-23428,19188,-10656,2166,855,2574,-32768,-9416,-4540,-2562,-7659,7754
-31788,-7748,-7580,14598,22967,10904,-17808,-10088,-19752,28477,-13009,12128
-10716,-7040,8564,14664,12375,12048,7404,19760,-5396,14590,-6989,16765
-19552,-11532,-2528,10865,-14972,4429,-32768,7944,32767,-32087,-12252,6206
856,-5172,4096,-1715,-7884,-8829,-3540,-1048,9544,3689,-3470,-1797
-12504,2740,-23516,-18584,11223,-1699,-32768,-18188,-10320,16527,-21969,5156
-32768,-3272,-10188,1976,22718,14850,-14012,-4384,-12940,19170,-17112,3559
-8088,-19808,10408,14062,20903,12594,1268,7484,8776,9855,-13798,4070
-32768,-10944,-32724,0,0,0,-32768,13504,-23888,11747,23410,-11111
4800,6084,-9368,-7519,-7002,420,-16944,16472,17136,31904,16583,-12257
-10344,-19504,7420,-5073,4738,-4065,-17484,-10392,10252,-9331,-12548,-1157
-16780,8296,12516,12662,-13868,393,-21028,19376,-6892,15340,21275,6970
-32768,364,-32768,-505,-21483,-25962,-32768,5816,-32144,9280,30092,-12543
8636,-2860,-21620,2742,-2411,-4830,-12028,2968,22396,22744,23472,-9216
5560,-19060,2952,2195,16657,-992,-15216,-6880,13100,-3831,-5758,-2864
-11512,-28940,7716,-16082,32047,17932,5868,7404,-19968,-12895,-13783,1190
-22396,3352,9784,-1917,-18679,60,-32768,4072,32767,-3815,6348,4911
-22024,1132,-31620,8907,-23523,-23758,-32768,10264,-26476,0,0,0
7932,-12056,-4496,3763,-10647,-11593,-9048,18960,20920,13927,17631,-6991
-32768,-3756,23084,32767,-15659,-61,-32768,22712,-3028,9885,-18663,931
-32768,-8576,-9232,-13027,28437,22401,-13444,-3616,-32520,5202,-19779,9239
-9572,-32768,17344,18462,14646,9657,4996,-2440,108,-22125,-12320,-3701
-32768,-15352,-23068,-8648,-14758,-12997,-32768,-32716,-32768,-11,32767,20999
-6372,8808,-24160,5810,-28056,-9085,-32768,10292,6436,-14071,32767,-11288
-2956,-2752,15216,14844,-15566,1093,-6720,19480,32767,-26307,11586,2209
29836,21732,-19236,-12710,12946,-9158,-32768,-12028,-19428,-15936,-25998,3864
